"full.date","ID","Total_hits","Diff_logger","Rhodo","Logstump","cover","Bamboo","Distance","Distance20","Act_time","Activity","Activity20","Moon","Sex","season","season.n","datalog","trap"
2010-03-31,"M142",2,1,1,0.617477654312789,1,0,0,20,131.566666666667,0,0.152014187990879,98.6,"F","EBS",1,5,1
2010-03-31,"M149",2,1,0,0,0,0,0,20,25.9333333333333,0,0.77120822622108,98.6,"F","EBS",1,5,1
2010-03-31,"M238",3,2,0,0.155225130447573,0,0,22.3606797749979,42.3606797749979,276.216666666667,0.0809534053279354,0.153360332257278,98.6,"M","EBS",1,5,1
2010-03-31,"M239",7,2,0,0.181943023181637,0,0,22.3606797749979,102.360679774998,403.05,0.055478674544096,0.253965214675593,98.6,"M","EBS",1,5,1
2010-03-31,"M240",5,2,1,0.246991061725116,1,0,28.2842712474619,88.2842712474619,217.75,0.12989332375413,0.405438673926346,98.6,"F","EBS",1,5,1
2010-03-31,"M252",5,4,0.6,0.190021178138388,0.6,0,176.607624603085,176.607624603085,351.733333333333,0.502106590039096,0.502106590039096,98.6,"F","EBS",1,5,1
2010-03-31,"M257",1,1,1,0,1,0,0,0,0,0,0,98.6,"M","EBS",1,5,1
2010-04-01,"M118",6,3,0.833333333333333,0.235677546319908,0.833333333333333,0,72.4264068711929,112.426406871193,238.466666666667,0.303717110167149,0.471455438375145,95,"M","EBS",1,5,1
2010-04-01,"M141",4,2,0.5,0.0513451334670725,0.5,0,70.7106781186548,110.710678118655,275.5,0.256663078470616,0.401853641084046,95,"M","EBS",1,5,1
2010-04-01,"M239",2,1,1,0,1,0,0,0,13.1666666666667,0,0,95,"M","EBS",1,5,1
2010-04-01,"M252",4,3,0.5,0.224819472635201,0.5,0,71.2310562561766,91.2310562561766,234.316666666667,0.303994834296223,0.389349411435422,95,"F","EBS",1,5,1
2010-04-01,"M257",4,1,1,0,1,0,0,40,216.683333333333,0,0.184601184524267,95,"M","EBS",1,5,1
2010-04-02,"M118",2,2,0.5,0.80939487906594,0.5,0,50.9901951359278,50.9901951359278,29.4666666666667,1.73043648651339,1.73043648651339,89.4,"M","EBS",1,5,1
2010-04-02,"M137",1,1,1,0,1,0,0,0,0,0,0,89.4,"M","EBS",1,5,1
2010-04-02,"M141",2,2,1,0,1,0,36.0555127546399,36.0555127546399,316.466666666667,0.113931470680345,0.113931470680345,89.4,"M","EBS",1,5,1
2010-04-02,"M142",1,1,1,0,1,0,0,0,0,0,0,89.4,"F","EBS",1,5,1
2010-04-02,"M144",2,1,0,1.06406517442535,0,0,0,20,35.8833333333333,0,0.557361820715281,89.4,"F","EBS",1,5,1
2010-04-02,"M148",2,2,0,1.26737448550546,0,0,31.6227766016838,31.6227766016838,22.3666666666667,1.41383501944935,1.41383501944935,89.4,"M","EBS",1,5,1
2010-04-02,"M238",3,2,0,1.32067132760196,0,0,41.2310562561766,61.2310562561766,320.533333333333,0.128632663028837,0.191028669684411,89.4,"M","EBS",1,5,1
2010-04-02,"M239",2,1,0,1.83388363395518,0,0,0,20,84.9833333333333,0,0.235340262796627,89.4,"M","EBS",1,5,1
2010-04-02,"M240",1,1,1,0,1,0,0,0,0,0,0,89.4,"F","EBS",1,5,1
2010-04-02,"M252",6,3,0.666666666666667,0.146934635986505,0.666666666666667,0,100.990195135928,100.990195135928,408.1,0.247464335054957,0.247464335054957,89.4,"F","EBS",1,5,1
2010-04-03,"M118",4,3,0.5,0.407438323217928,0.5,0,172.69106839051,172.69106839051,482.65,0.357797717581085,0.357797717581085,82.1,"M","EBS",1,5,1
2010-04-03,"M141",5,3,0,1.30210703336735,0,0,146.267662756158,166.267662756158,457.883333333333,0.319443081038454,0.363122329755376,82.1,"M","EBS",1,5,1
2010-04-03,"M148",4,4,0.25,0.323764040743668,0.25,0,179.911742737453,179.911742737453,132.55,1.35731228017694,1.35731228017694,82.1,"M","EBS",1,5,1
2010-04-03,"M238",3,2,0,1.24897336899419,0,0,85.4400374531753,105.440037453175,182.483333333333,0.468207347446389,0.577806397587955,82.1,"M","EBS",1,5,1
2010-04-03,"M239",2,1,0,0.0109635347398304,0,0,0,20,17.2,0,1.16279069767442,82.1,"M","EBS",1,5,1
2010-04-03,"M252",5,3,0.2,0.883556190459061,0.2,0,79.2744663833898,119.27446638339,394.066666666667,0.201170190450152,0.302675857849915,82.1,"F","EBS",1,5,1
2010-04-03,"M257",1,1,1,0,1,0,0,0,0,0,0,82.1,"M","EBS",1,5,1
2010-04-04,"M137",1,1,0,0.422250190234233,0,0,0,0,0,0,0,73.6,"M","EBS",1,5,1
2010-04-04,"M141",2,1,0,0.590100718015772,0,0,0,20,86.85,0,0.23028209556707,73.6,"M","EBS",1,5,1
2010-04-04,"M144",3,1,0,0.142599097005574,1,1,0,40,155.033333333333,0,0.258009030316061,73.6,"F","EBS",1,5,1
2010-04-04,"M148",6,2,0,0.522193395727347,0,0,89.4427190999916,109.442719099992,303.433333333333,0.294768930352603,0.360681266944935,73.6,"M","EBS",1,5,1
2010-04-05,"M118",2,1,1,0,1,0,0,20,104.35,0,0.191662673694298,64.3,"M","EBS",1,5,1
2010-04-05,"M141",6,3,0.5,0.766196895654034,0.5,0,130.622577482985,190.622577482985,220.5,0.592392641646193,0.864501485183608,64.3,"M","EBS",1,5,1
2010-04-05,"M144",4,2,0,0.582795165239038,0.75,0.75,40,80,134.783333333333,0.296772597996785,0.59354519599357,64.3,"F","EBS",1,5,1
2010-04-05,"M239",4,1,0,4.05927082740645,0,0,0,40,114.366666666667,0,0.349752258816672,64.3,"M","EBS",1,5,1
2010-04-05,"M252",2,1,1,0,1,0,0,20,100.5,0,0.199004975124378,64.3,"F","EBS",1,5,1
2010-04-05,"M257",2,1,1,0,1,0,0,20,75.2333333333333,0,0.265839610101905,64.3,"M","EBS",1,5,1
2010-04-06,"M141",2,2,0.5,0.395207317022672,0.5,0,50,50,282.133333333333,0.177221172022684,0.177221172022684,54.6,"M","EBS",1,5,1
2010-04-06,"M144",4,2,0,0.395207317022672,0.5,0.5,64.0312423743285,104.031242374328,464.7,0.137790493596575,0.223867532546435,54.6,"F","EBS",1,5,1
2010-04-06,"M148",1,1,0,0,0,0,0,0,0,0,0,54.6,"M","EBS",1,5,1
2010-04-06,"M239",6,2,0.333333333333333,2.71565702351726,0.333333333333333,0,28.2842712474619,88.2842712474619,269.833333333333,0.104821264660143,0.327180745821354,54.6,"M","EBS",1,5,1
2010-04-06,"M252",3,1,1,0.0284294157388831,1,0,0,40,86.1833333333333,0,0.4641268613421,54.6,"F","EBS",1,5,1
2010-04-06,"M257",2,2,1,0.0142147078694416,1,0,50.9901951359278,50.9901951359278,97.5666666666667,0.522619014034108,0.522619014034108,54.6,"M","EBS",1,5,1
2010-04-07,"M118",1,1,0,0.0949080656585242,0,0,0,0,0,0,0,45,"M","EBS",1,5,1
2010-04-07,"M141",2,1,1,0.0284294157388831,1,0,0,20,145.516666666667,0,0.137441301110984,45,"M","EBS",1,5,1
2010-04-07,"M144",1,1,0,0,1,1,0,0,0,0,0,45,"F","EBS",1,5,1
2010-04-07,"M148",4,2,0,0.236972306748109,0,0,89.4427190999916,109.442719099992,83.5666666666667,1.07031574511358,1.30964562145981,45,"M","EBS",1,5,1
2010-04-07,"M239",6,2,0.5,0.130054986273807,0.5,0,31.6227766016838,111.622776601684,407.083333333333,0.0776813345384249,0.274201293596767,45,"M","EBS",1,5,1
2010-04-07,"M252",2,1,1,0.0284294157388831,1,0,0,20,117.066666666667,0,0.170842824601367,45,"F","EBS",1,5,1
2010-04-07,"M257",2,1,1,0.0284294157388831,1,0,0,20,209.516666666667,0,0.095457799697717,45,"M","EBS",1,5,1
2010-04-08,"M118",2,1,1,0,1,0,0,20,68.4833333333333,0,0.292041859333171,35.7,"M","EBS",1,5,1
2010-04-08,"M137",2,1,1,0,1,0,0,20,199.516666666667,0,0.100242252109264,35.7,"M","EBS",1,5,1
2010-04-08,"M141",2,2,0.5,0.564943341184875,0.5,0,67.0820393249937,67.0820393249937,60.95,1.10060770016397,1.10060770016397,35.7,"M","EBS",1,5,1
2010-04-08,"M144",4,3,0,0.176801998322985,0,0,108.16653826392,128.16653826392,170.066666666667,0.636024333186513,0.75362527399404,35.7,"F","EBS",1,5,1
2010-04-08,"M145",2,2,0,0.159743979602957,0,0,28.2842712474619,28.2842712474619,72.4833333333333,0.390217584467168,0.390217584467168,35.7,"M","EBS",1,5,1
2010-04-08,"M148",3,3,0,0.387530805739057,0,0,73.0056307974577,73.0056307974577,189.383333333333,0.385491318124392,0.385491318124392,35.7,"M","EBS",1,5,1
2010-04-08,"M149",1,1,0,0.090426939477583,0,0,0,0,0,0,0,35.7,"F","EBS",1,5,1
2010-04-08,"M237",1,1,1,0,1,0,0,0,0,0,0,35.7,"F","EBS",1,5,1
2010-04-08,"M238",1,1,1,0.352889068941415,1,0,0,0,0,0,0,35.7,"M","EBS",1,5,1
2010-04-08,"M239",5,3,0,0.488790620694952,0,0,122.11102550928,162.11102550928,208.433333333333,0.585851713622004,0.777759597837581,35.7,"M","EBS",1,5,1
2010-04-08,"M240",1,1,1,0,1,0,0,0,0,0,0,35.7,"F","EBS",1,5,1
2010-04-08,"M252",2,2,0.5,0.0474540328292621,0.5,0,30,30,125.866666666667,0.238347457627119,0.238347457627119,35.7,"F","EBS",1,5,1
2010-04-08,"M257",1,1,1,0,1,0,0,0,0,0,0,35.7,"M","EBS",1,5,1
2010-04-09,"M137",1,1,1,0,1,0,0,0,0,0,0,27,"M","EBS",1,5,1
2010-04-09,"M148",2,1,0,0.498210223466866,0,0,0,20,174.766666666667,0,0.11443829868396,27,"M","EBS",1,5,1
2010-04-10,"M137",2,1,0,0.498210223466866,0,0,0,20,496.766666666667,0,0.0402603502650473,19.1,"M","EBS",1,5,1
2010-04-10,"M148",4,1,0,0.498210223466866,0,0,0,60,521.483333333333,0,0.115056409600818,19.1,"M","EBS",1,5,1
