"","spaceval","logit.values","high","low"
"1",0,0.978697383887014,0.982932420861281,0.973439888105165
"2",0.00411554149229086,0.978788540057735,0.983016933439745,0.973535716088428
"3",0.00823108298458173,0.978879314579264,0.983100189578184,0.973632513693985
"4",0.0123466244768726,0.978969708977572,0.983182210266208,0.97373025750647
"5",0.0164621659691635,0.979059724773143,0.983263015497617,0.973828925130129
"6",0.0205777074614543,0.979149363480987,0.98334262431457,0.973928495144555
"7",0.0246932489537452,0.979238626610658,0.983421054847994,0.974028947064201
"8",0.0288087904460361,0.979327515666265,0.983498324354511,0.974130261301355
"9",0.0329243319383269,0.979416032146491,0.98357444925014,0.974232419132354
"10",0.0370398734306178,0.979504177544599,0.983649445141003,0.97433540266679
"11",0.0411554149229086,0.979591953348457,0.983723326851212,0.974439194819526
"12",0.0452709564151995,0.979679361040544,0.983796108448136,0.974543779285349
"13",0.0493864979074904,0.979766402097969,0.983867803265177,0.974649140516101
"14",0.0535020393997812,0.979853077992484,0.983938423922196,0.974755263700162
"15",0.0576175808920721,0.979939390190497,0.984007982343699,0.97486213474418
"16",0.061733122384363,0.980025340153091,0.984076489774881,0.974969740256931
"17",0.0658486638766538,0.980110929336033,0.984143956795603,0.975078067535257
"18",0.0699642053689447,0.980196159189793,0.984210393332375,0.975187104551994
"19",0.0740797468612356,0.980281031159556,0.984275808668377,0.975296839945858
"20",0.0781952883535264,0.980365546685236,0.984340211451587,0.975407263013232
"21",0.0823108298458173,0.980449707201493,0.984403609700994,0.975518363701858
"22",0.0864263713381081,0.980533514137746,0.984466010810948,0.975630132606403
"23",0.090541912830399,0.980616968918187,0.98452742155361,0.975742560965915
"24",0.0946574543226899,0.980700072961797,0.984587848079501,0.975855640663189
"25",0.0987729958149807,0.980782827682358,0.984647295916107,0.975969364226065
"26",0.102888537307272,0.980865234488472,0.984705769964499,0.976083724830729
"27",0.107004078799562,0.980947294783569,0.984763274493889,0.976198716307053
"28",0.111119620291853,0.981029009965929,0.984819813134062,0.976314333146091
"29",0.115235161784144,0.981110381428691,0.984875388865556,0.976430570509789
"30",0.119350703276435,0.981191410559868,0.984930004007495,0.97654742424308
"31",0.123466244768726,0.981272098742366,0.984983660202913,0.97666489088846
"32",0.127581786261017,0.981352447353993,0.985036358401404,0.976782967703252
"33",0.131697327753308,0.981432457767476,0.985088098838905,0.976901652679728
"34",0.135812869245599,0.981512131350475,0.985138881014387,0.977020944568336
"35",0.139928410737889,0.9815914694656,0.985188703663176,0.977140842904281
"36",0.14404395223018,0.981670473470422,0.985237564726616,0.977261348037782
"37",0.148159493722471,0.981749144717488,0.985285461317706,0.977382461168331
"38",0.152275035214762,0.981827484554338,0.985332389682323,0.977504184383393
"39",0.156390576707053,0.981905494323517,0.985378345155551,0.977626520701977
"40",0.160506118199344,0.98198317536259,0.985423322112587,0.977749474123651
"41",0.164621659691635,0.982060529004158,0.985467313913586,0.977873049683593
"42",0.168737201183925,0.98213755657587,0.98551031284175,0.977997253514423
"43",0.172852742676216,0.982214259400441,0.985552310033798,0.978122092915642
"44",0.176968284168507,0.982290638795662,0.985593295401857,0.97824757643164
"45",0.181083825660798,0.982366696074417,0.985633257545652,0.978373713939431
