"","rhodweight","logit.values","high","low"
"1",0,0.954651047489136,0.971533418539014,0.92849334903761
"2",6.0154898275082,0.931608232110797,0.957309525125975,0.892176550009311
"3",12.0309796550164,0.898106546784056,0.93569094476449,0.842259549046994
"4",18.0464694825246,0.850821925323354,0.903143947669171,0.777207788079558
"5",24.0619593100328,0.786803328765639,0.855029246832467,0.697816731119174
"6",30.077449137541,0.704842309983615,0.786062686531947,0.608157804137841
"7",36.0929389650492,0.607106455092948,0.691746437318872,0.515503565207492
"8",42.1084287925574,0.499966641821091,0.570424799033205,0.429509809397989
"9",48.1239186200656,0.392829891793827,0.416269334377369,0.369873987030962
"10",54.1394084475738,0.29510217446635,0.29510217446635,0.29510217446635
"11",60.154898275082,0.213151909625484,0.213151909625484,0.213151909625484
"12",66.1703881025902,0.149144206225854,0.149144206225854,0.149144206225854
"13",72.1858779300985,0.101869034640479,0.101869034640479,0.101869034640479
"14",78.2013677576067,0.0683747666942845,0.0683747666942845,0.0683747666942845
"15",84.2168575851149,0.0453374006608365,0.0453374006608365,0.0453374006608365
"16",90.2323474126231,0.0298135709862461,0.0298135709862461,0.0298135709862461
"17",96.2478372401313,0.0194966492373965,0.0194966492373965,0.0194966492373965
"18",102.263327067639,0.0127031302252808,0.0127031302252808,0.0127031302252808
"19",108.278816895148,0.00825684808825911,0.00825684808825911,0.00825684808825911
"20",114.294306722656,0.00535838364234103,0.00535838364234103,0.00535838364234103
"21",120.309796550164,0.00347382536743422,0.00347382536743422,0.00347382536743422
"22",126.325286377672,0.00225057169991434,0.00225057169991434,0.00225057169991434
"23",132.34077620518,0.00145743783934297,0.00145743783934297,0.00145743783934297
"24",138.356266032689,0.000943551438539608,0.000943551438539608,0.000943551438539608
"25",144.371755860197,0.00061074837757816,0.00061074837757816,0.00061074837757816
"26",150.387245687705,0.000395282910327768,0.000395282910327768,0.000395282910327768
"27",156.402735515213,0.000255811888355723,0.000255811888355723,0.000255811888355723
"28",162.418225342722,0.000165543460296858,0.000165543460296858,0.000165543460296858
"29",168.43371517023,0.000107124670031374,0.000107124670031374,0.000107124670031374
"30",174.449204997738,6.93199133188261e-05,6.93199133188261e-05,6.93199133188261e-05
"31",180.464694825246,4.48560193095364e-05,4.48560193095364e-05,4.48560193095364e-05
"32",186.480184652754,2.90254993048981e-05,2.90254993048981e-05,2.90254993048981e-05
"33",192.495674480263,1.87817580749766e-05,1.87817580749766e-05,1.87817580749766e-05
"34",198.511164307771,1.21532159483641e-05,1.21532159483641e-05,1.21532159483641e-05
"35",204.526654135279,7.86403018104493e-06,7.86403018104493e-06,7.86403018104493e-06
"36",210.542143962787,5.08860184287114e-06,5.08860184287114e-06,5.08860184287114e-06
"37",216.557633790295,3.29269379126457e-06,3.29269379126457e-06,3.29269379126457e-06
"38",222.573123617804,2.13060991328303e-06,2.13060991328303e-06,2.13060991328303e-06
"39",228.588613445312,1.37865742415049e-06,1.37865742415049e-06,1.37865742415049e-06
"40",234.60410327282,8.92089995872924e-07,8.92089995872924e-07,8.92089995872924e-07
"41",240.619593100328,5.77245956924354e-07,5.77245956924354e-07,5.77245956924354e-07
"42",246.635082927836,3.73519330225941e-07,3.73519330225941e-07,3.73519330225941e-07
"43",252.650572755345,2.41693646092233e-07,2.41693646092233e-07,2.41693646092233e-07
"44",258.666062582853,1.56393019360527e-07,1.56393019360527e-07,1.56393019360527e-07
"45",264.681552410361,1.01197429737296e-07,1.01197429737296e-07,1.01197429737296e-07
"46",270.697042237869,6.54819481573702e-08,6.54819481573702e-08,6.54819481573702e-08
"47",276.712532065377,4.23714860304933e-08,4.23714860304933e-08,4.23714860304933e-08
"48",282.728021892886,2.7417370196045e-08,2.7417370196045e-08,2.7417370196045e-08
"49",288.743511720394,1.77409917593792e-08,1.77409917593792e-08,1.77409917593792e-08
"50",294.759001547902,1.14796855161877e-08,1.14796855161877e-08,1.14796855161877e-08
"51",300.77449137541,7.42817431216524e-09,7.42817431216524e-09,7.42817431216524e-09
"52",306.789981202918,4.80655793707986e-09,4.80655793707986e-09,4.80655793707986e-09
"53",312.805471030427,3.1101853847578e-09,3.1101853847578e-09,3.1101853847578e-09
"54",318.820960857935,2.01251149957977e-09,2.01251149957977e-09,2.01251149957977e-09
"55",324.836450685443,1.30223830200629e-09,1.30223830200629e-09,1.30223830200629e-09
"56",330.851940512951,8.42640946469732e-10,8.42640946469732e-10,8.42640946469732e-10
"57",336.867430340459,5.45248717886969e-10,5.45248717886969e-10,5.45248717886969e-10
"58",342.882920167968,3.52814761223876e-10,3.52814761223876e-10,3.52814761223876e-10
"59",348.898409995476,2.28296283229064e-10,2.28296283229064e-10,2.28296283229064e-10
"60",354.913899822984,1.47723957901076e-10,1.47723957901076e-10,1.47723957901076e-10
"61",360.929389650492,9.5587923853507e-11,9.5587923853507e-11,9.5587923853507e-11
"62",366.944879478,6.18521959218991e-11,6.18521959218991e-11,6.18521959218991e-11
"63",372.960369305509,4.00227767911197e-11,4.00227767911197e-11,4.00227767911197e-11
"64",378.975859133017,2.58975875987017e-11,2.58975875987017e-11,2.58975875987017e-11
"65",384.991348960525,1.67575839859741e-11,1.67575839859741e-11,1.67575839859741e-11
"66",391.006838788033,1.08433505621253e-11,1.08433505621253e-11,1.08433505621253e-11
"67",397.022328615541,7.01642023762548e-12,7.01642023762548e-12,7.01642023762548e-12
"68",403.03781844305,4.54012370704399e-12,4.54012370704399e-12,4.54012370704399e-12
"69",409.053308270558,2.93778345326429e-12,2.93778345326429e-12,2.93778345326429e-12
"70",415.068798098066,1.90095516667933e-12,1.90095516667933e-12,1.90095516667933e-12
"71",421.084287925574,1.23005340700256e-12,1.23005340700256e-12,1.23005340700256e-12
"72",427.099777753083,7.9593217693887e-13,7.9593217693887e-13,7.9593217693887e-13
"73",433.115267580591,5.1502481654866e-13,5.1502481654866e-13,5.1502481654866e-13
"74",439.130757408099,3.33257743996605e-13,3.33257743996605e-13,3.33257743996605e-13
"75",445.146247235607,2.15641499914415e-13,2.15641499914415e-13,2.15641499914415e-13
"76",451.161737063115,1.39535411623654e-13,1.39535411623654e-13,1.39535411623654e-13
"77",457.177226890624,9.02893510975842e-14,9.02893510975842e-14,9.02893510975842e-14
"78",463.192716718132,5.84236419039642e-14,5.84236419039642e-14,5.84236419039642e-14
"79",469.20820654564,3.78042581082846e-14,3.78042581082846e-14,3.78042581082846e-14
"80",475.223696373148,2.44620479748081e-14,2.44620479748081e-14,2.44620479748081e-14
"81",481.239186200656,1.58286875887847e-14,1.58286875887847e-14,1.58286875887847e-14
"82",487.254676028165,1.0242288423331e-14,1.0242288423331e-14,1.0242288423331e-14
"83",493.270165855673,6.62749021725776e-15,6.62749021725776e-15,6.62749021725776e-15
"84",499.285655683181,4.28845827850281e-15,4.28845827850281e-15,4.28845827850281e-15
"85",505.301145510689,2.77493799365712e-15,2.77493799365712e-15,2.77493799365712e-15
"86",511.316635338197,1.79558255404784e-15,1.79558255404784e-15,1.79558255404784e-15
"87",517.332125165706,1.16186982043224e-15,1.16186982043224e-15,1.16186982043224e-15
