"","spaceval","logit.values","high","low"
"1",0,0.954651047489136,0.971396742826443,0.928820009154258
"2",0.138654237860825,0.975184533649661,0.983426537459966,0.962997989207124
"3",0.277308475721651,0.986551665574505,0.990328051924959,0.981328598720133
"4",0.415962713582476,0.992750603466764,0.994230971400518,0.99089384333064
"5",0.554616951443301,0.996103459681277,0.996103459681277,0.996103459681277
"6",0.693271189304126,0.997908881502877,0.997908881502877,0.997908881502877
"7",0.831925427164952,0.998878721364819,0.998878721364819,0.998878721364819
"8",0.970579665025777,0.999399030074569,0.999399030074569,0.999399030074569
"9",1.1092339028866,0.999677976942012,0.999677976942012,0.999677976942012
"10",1.24788814074743,0.999827469873928,0.999827469873928,0.999827469873928
"11",1.38654237860825,0.999907570040836,0.999907570040836,0.999907570040836
"12",1.52519661646908,0.999950484128221,0.999950484128221,0.999950484128221
"13",1.6638508543299,0.999973474263914,0.999973474263914,0.999973474263914
"14",1.80250509219073,0.999985790270094,0.999985790270094,0.999985790270094
"15",1.94115933005155,0.999992387948493,0.999992387948493,0.999992387948493
"16",2.07981356791238,0.999995922290499,0.999995922290499,0.999995922290499
"17",2.2184678057732,0.999997815610224,0.999997815610224,0.999997815610224
"18",2.35712204363403,0.999998829844427,0.999998829844427,0.999998829844427
"19",2.49577628149485,0.999999373159756,0.999999373159756,0.999999373159756
"20",2.63443051935568,0.999999664208246,0.999999664208246,0.999999664208246
"21",2.77308475721651,0.999999820119898,0.999999820119898,0.999999820119898
"22",2.91173899507733,0.999999903640133,0.999999903640133,0.999999903640133
"23",3.05039323293816,0.999999948381041,0.999999948381041,0.999999948381041
"24",3.18904747079898,0.999999972348272,0.999999972348272,0.999999972348272
"25",3.32770170865981,0.999999985187263,0.999999985187263,0.999999985187263
"26",3.46635594652063,0.999999992064974,0.999999992064974,0.999999992064974
"27",3.60501018438146,0.999999995749291,0.999999995749291,0.999999995749291
"28",3.74366442224228,0.99999999772294,0.99999999772294,0.99999999772294
"29",3.88231866010311,0.999999998780203,0.999999998780203,0.999999998780203
"30",4.02097289796393,0.999999999346568,0.999999999346568,0.999999999346568
"31",4.15962713582476,0.999999999649963,0.999999999649963,0.999999999649963
"32",4.29828137368558,0.999999999812489,0.999999999812489,0.999999999812489
"33",4.43693561154641,0.999999999899552,0.999999999899552,0.999999999899552
"34",4.57558984940723,0.999999999946191,0.999999999946191,0.999999999946191
"35",4.71424408726806,0.999999999971175,0.999999999971175,0.999999999971175
"36",4.85289832512888,0.999999999984559,0.999999999984559,0.999999999984559
"37",4.99155256298971,0.999999999991728,0.999999999991728,0.999999999991728
"38",5.13020680085053,0.999999999995569,0.999999999995569,0.999999999995569
"39",5.26886103871136,0.999999999997626,0.999999999997626,0.999999999997626
"40",5.40751527657218,0.999999999998728,0.999999999998728,0.999999999998728
"41",5.54616951443301,0.999999999999319,0.999999999999319,0.999999999999319
"42",5.68482375229384,0.999999999999635,0.999999999999635,0.999999999999635
"43",5.82347799015466,0.999999999999805,0.999999999999805,0.999999999999805
"44",5.96213222801549,0.999999999999895,0.999999999999895,0.999999999999895
"45",6.10078646587631,0.999999999999944,0.999999999999944,0.999999999999944
"46",6.23944070373714,0.99999999999997,0.99999999999997,0.99999999999997
"47",6.37809494159796,0.999999999999984,0.999999999999984,0.999999999999984
"48",6.51674917945879,0.999999999999991,0.999999999999991,0.999999999999991
"49",6.65540341731961,0.999999999999995,0.999999999999995,0.999999999999995
"50",6.79405765518044,0.999999999999998,0.999999999999998,0.999999999999998
"51",6.93271189304126,0.999999999999999,0.999999999999999,0.999999999999999
"52",7.07136613090209,0.999999999999999,0.999999999999999,0.999999999999999
"53",7.21002036876291,1,1,1
"54",7.34867460662374,1,1,1
"55",7.48732884448456,1,1,1
"56",7.62598308234539,1,1,1
"57",7.76463732020621,1,1,1
"58",7.90329155806704,1,1,1
"59",8.04194579592786,1,1,1
"60",8.18060003378869,1,1,1
"61",8.31925427164952,1,1,1
"62",8.45790850951034,1,1,1
"63",8.59656274737117,1,1,1
"64",8.73521698523199,1,1,1
"65",8.87387122309282,1,1,1
"66",9.01252546095364,1,1,1
"67",9.15117969881447,1,1,1
"68",9.28983393667529,1,1,1
"69",9.42848817453612,1,1,1
"70",9.56714241239694,1,1,1
"71",9.70579665025777,1,1,1
"72",9.84445088811859,1,1,1
"73",9.98310512597942,1,1,1
"74",10.1217593638402,1,1,1
"75",10.2604136017011,1,1,1
"76",10.3990678395619,1,1,1
"77",10.5377220774227,1,1,1
"78",10.6763763152835,1,1,1
"79",10.8150305531444,1,1,1
"80",10.9536847910052,1,1,1
"81",11.092339028866,1,1,1
"82",11.2309932667268,1,1,1
"83",11.3696475045877,1,1,1
"84",11.5083017424485,1,1,1
"85",11.6469559803093,1,1,1
"86",11.7856102181701,1,1,1
"87",11.924264456031,1,1,1
"88",12.0629186938918,1,1,1
"89",12.2015729317526,1,1,1
"90",12.3402271696134,1,1,1
"91",12.4788814074743,1,1,1
"92",12.6175356453351,1,1,1
"93",12.7561898831959,1,1,1
"94",12.8948441210567,1,1,1
"95",13.0334983589176,1,1,1
"96",13.1721525967784,1,1,1
"97",13.3108068346392,1,1,1
"98",13.4494610725,1,1,1
"99",13.5881153103609,1,1,1
"100",13.7267695482217,1,1,1
